track_id,title,artist,album,acousticness,danceability,energy,instrumentalness,key,speechiness,tempo,valence,sec1_tempo,sec1_tempo_confidence,sec1_key,sec1_key_confidence,sec1_mode,sec1_mode_confidence,sec1_duration,sec1_start
1hkm127hnTSa2xjGNw8IAE,Disease,['Beartooth'],Disease,0.00202,0.525,0.957,3.25e-06,0,0.0689,97.445,0.456,97.472,0.348,10,0.588,0,0.471,40.63504,19.8974
0iVSLUaLzYPi1vDFTkjZhb,"god save me, but don't drown me out",['YUNGBLUD'],weird!,0.00115,0.373,0.871,0.0,2,0.0622,127.413,0.201,126.912,0.16,6,0.422,0,0.548,29.27998,4.24667
6FxIFdX1jeJYwPozaeqaZj,Like That,['Stand Atlantic'],Pink Elephant,0.0007,0.572,0.953,0.0,4,0.0494,131.979,0.388,132.042,0.381,4,0.257,0,0.0,44.53808,8.40715
1vgFHoxGDoXzrpSnOI0RWY,Mines (A Flicker in the Deep),['ConcernedApe'],Stardew Valley (Original Game Soundtrack),0.989,0.349,0.0571,0.952,7,0.0509,100.921,0.0799,101.978,0.334,0,0.0,1,0.0,11.803,29.40987
37kW9eEI0EJFM0ip2mf1Wy,C Carter,['Cordae'],From a Birds Eye View,0.283,0.756,0.791,0.0,10,0.26,86.967,0.519,85.846,0.428,0,0.0,0,0.0,10.45564,8.03176
5fpq1wF8xa5tSSlcKHdmGQ,sTraNgeRs,['Bring Me The Horizon'],sTraNgeRs,0.000231,0.346,0.939,0.0,5,0.182,183.147,0.526,183.269,0.288,2,0.415,0,0.502,15.40624,17.41136
6JBX1drGsMrTE8JrAYYoou,Somebody That I Used To Know,"['Mayday Parade', 'Vic Fuentes']","Punk Goes Pop, Vol. 5",0.00391,0.457,0.939,9.94e-06,3,0.0835,136.064,0.467,135.786,0.529,3,0.601,1,0.618,29.11356,13.86118
75fDVecaFMegTxBhb4ceqL,Ayye,['Mac Miller'],K.I.D.S. (Deluxe),0.0613,0.764,0.719,0.0,10,0.0769,106.96,0.452,107.111,0.58,3,0.328,0,0.381,20.18957,16.27878
2CHiLa0obXZOzUd8BzUmhI,sucht,['t-low'],sucht,0.0725,0.816,0.704,0.0,9,0.0961,118.997,0.464,119.024,0.752,9,0.31,1,0.456,16.11869,9.10662
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),['Dua Lipa'],Dance The Night (From Barbie The Album),0.0207,0.671,0.845,0.0,11,0.048,110.056,0.775,110.111,0.569,2,0.4,1,0.591,15.27338,8.32165
71koLb7kowtfrjvJF00tTb,Karma (feat. Ice Spice),"['Taylor Swift', 'Ice Spice']",Midnights (The Til Dawn Edition),0.0571,0.619,0.623,0.0,8,0.0615,90.048,0.0797,90.044,0.646,1,0.0,1,0.0,32.67068,10.85089
4ebn1XDVX6tSN6igE9Xrpo,HAIFISCHE REMIX,"['PAPKE', 'MC Bomber', 'Sportler99', 'IvanG']",HAIFISCHE REMIX,0.0422,0.789,0.731,0.0,9,0.304,93.228,0.606,94.078,0.677,9,0.736,1,0.456,33.35967,10.23679
4DqO5X7YPVaSUhxgYMQ1wL,LORDAURA,['Kollegah'],LORDAURA,0.349,0.737,0.752,0.0,1,0.332,92.298,0.543,91.946,0.575,10,0.0,0,0.0,22.05841,11.38007
2hR3npB7rQOqRXS4yISzFs,Ant Pile,['Dominic Fike'],Ant Pile,0.0794,0.804,0.722,0.000757,0,0.0526,124.997,0.92,125.476,0.245,7,0.0,1,0.0,8.1761,7.91336
6l8mgVN9Xf1hiDIFGA6CTE,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"['Beyoncé', 'Kendrick Lamar']",AMERICA HAS A PROBLEM (feat. Kendrick Lamar),0.0112,0.784,0.7,1.76e-05,1,0.0396,126.015,0.204,126.005,0.703,1,0.815,1,0.662,52.86425,18.58733
7uI9884BcfNJ21x1msnNhc,Miracle (with Ellie Goulding) - MK Remix,"['Calvin Harris', 'Ellie Goulding', 'MK']",Miracle (with Ellie Goulding) [MK Remix],0.000244,0.554,0.792,0.0982,9,0.045,135.264,0.485,142.076,0.895,2,0.022,1,0.29,20.29118,34.65815
2ngiWURs79dpzGCS5feNmz,RATA-TATA - Live at l'Olympia,['Royal Republic'],RATA-TATA (Live at l'Olympia),0.00919,0.458,0.925,0.116,2,0.0747,134.268,0.274,133.991,0.346,9,0.612,1,0.568,37.16481,9.99904
0bhrpeuxiTWznT1ZeAECbJ,Dream a Little Dream of Me,['Dean Martin'],Dean Martin Best Ever Collection!,0.919,0.217,0.178,0.157,4,0.0347,96.921,0.155,96.088,0.214,4,0.504,1,0.492,18.07731,12.61312
6bCorsYhqH1NIEfbGvh3q8,YAP - Perel Remix,"['Kollektiv Turmstrasse', 'Perel']",YAP (Perel Remix),0.0114,0.712,0.876,0.79,1,0.0501,130.014,0.46,130.051,0.866,2,0.0,1,0.0,23.07387,8.10681
3sXTe7czYwJXo8QsPifBzz,THAT SUCKS!,['Jack Kays'],THAT SUCKS!,0.00932,0.645,0.701,0.0,6,0.046,135.066,0.667,135.092,0.575,4,0.027,1,0.339,19.10274,13.80495
79yXiVM8QbotM46zcevzUO,$wing,['FEVER 333'],$wing,0.00172,0.454,0.952,0.0,4,0.252,184.938,0.49,184.944,0.497,8,0.416,1,0.375,16.8666,8.02857
7xJWAuyry7xJnmySKUnMiu,Living In A Haze - Acoustic Version,['Milky Chance'],Living In A Haze (Acoustic Version),0.28,0.837,0.536,0.00071,6,0.0387,125.955,0.922,125.881,0.771,5,0.01,1,0.216,14.76553,7.72853
3pC8tmz3WHMdXSmU7M5ajj,Times Like These - Lee “Scratch” Perry x Subatomic Sound System Dub,"['Jack Johnson', 'Lee ""Scratch"" Perry', 'Subatomic Sound System']",In Between Dub,0.365,0.735,0.631,0.202,1,0.0811,141.989,0.641,142.099,0.577,1,0.407,0,0.494,22.80631,8.07137
2xluJG2nDkkLeeb4qSiEqQ,PRESSURE,['Machine Gun Kelly'],PRESSURE,0.0689,0.508,0.59,0.000157,1,0.253,160.069,0.249,137.392,0.499,1,0.59,1,0.451,13.51319,15.80535
6N7NO9Z1Hi6la8dqG3Aoew,Lost at Sea,"['Rob Grant', 'Lana Del Rey']",Lost At Sea,0.957,0.142,0.188,0.67,3,0.0344,167.87,0.114,84.164,0.295,3,0.404,0,0.525,17.8216,5.07874
